filename,size_bytes,sha256
collinearity_matrix.csv,2567,3f44a403826e5d9194d344af4ac8e3d9f2c79cbad37c5ee1cda74bc9fd5b832c
collinearity_matrix_v2.csv,2567,3f44a403826e5d9194d344af4ac8e3d9f2c79cbad37c5ee1cda74bc9fd5b832c
collinearity_matrix_v3.csv,2567,3f44a403826e5d9194d344af4ac8e3d9f2c79cbad37c5ee1cda74bc9fd5b832c
collinearity_replacement_trace.csv,482,d8914abd06e03e6bc1c2c6ef9b61fde4fb7d7c387c50a06e1f254cd0bc75848d
direction_encoding.json,1472,1c6394925ba92c2378602a2d7727386452a5cd4618d5333a1852bf7b76060c16
direction_encoding_latest.json,1472,1c6394925ba92c2378602a2d7727386452a5cd4618d5333a1852bf7b76060c16
direction_encoding_v2.json,1472,1c6394925ba92c2378602a2d7727386452a5cd4618d5333a1852bf7b76060c16
direction_encoding_v3.json,1472,1c6394925ba92c2378602a2d7727386452a5cd4618d5333a1852bf7b76060c16
domain_filter_log_v3.csv,3037,61bc4fe3634d1e092191ec8c0a5afe0254b32629ec6b4a710dccc1846e7ef089
duplicate_ratio_alias_log.csv,1744,83214cdf96beb6dc2c4536f6a05f7165a19fe50dcc0513f533e606ed9d8bbeb7
oot_sanity_check.csv,1593,b523e6733910cb9393740014c7c1b42719d12c1b25795453db51312094b69082
selected_variables_latest.json,9375,27ac213663e868ad5d419b070ea1433b32596b8673629c308404f537326541b4
selected_variables_v1.json,6749,e2dffabcf71c390386dbd37d0e284e5e4ab607567e7c5d87a513f90181159a6c
selected_variables_v2.json,9375,27ac213663e868ad5d419b070ea1433b32596b8673629c308404f537326541b4
selected_variables_v3.json,9375,27ac213663e868ad5d419b070ea1433b32596b8673629c308404f537326541b4
selected_variable_master.csv,1508,587b11c21c26492f827ce8ab4dff8a98e76fbd1ae6399606098c1c8d9dbedb9e
selection_score_table.csv,78723,c76bacd6cc296dc9bca2bab584703963a747f5d109da0f873045d6f81c73d8c5
simulator_ratio_alias_map.json,364,2b7fc0cc747442fe1b1ff7f06962bfd987a1fe3c6f047a8c540f227db49b6129
split_reconciliation_report.csv,1005,e889fbc622d15b05dc6456b45fe5cfdd3f3ab113234c6632b9b346f8246c013e
stage3_compliance_checklist.csv,1107,d47aa22b7f5598dc78605bddaf220805be173452b71fae822464dc1d026f8b92
stage3_ratio_alias_map_used.json,4157,4d7d2d7a7078cbd5b75fa11e189d93353c5d856545617c4e8bb53f4a79919df0
stage3_ratio_alias_master_used.csv,2760,4367835a1a8b9d0527125d7b07193ba6a443e327a5fe1b81b663a4850b6ff3b3
stage3_subfix_override_log.csv,186,43288a81746c41b210bcff1da77307dc188b8773128783be2972869013fe9c51
stage3_verdict.md,199,d0e745b9941f9ee5d52608284a5acde0d867501266de0e63d81c744d97df3430
variable_screening_metrics.csv,77842,22ccb5f3a61aabc8becc17f9cf0b5d3b6678811ef1484c84aeff2084ccbed80a
variable_selection_report.md,3938,66621a7311a0dac0396ba53feaf9faf16c7c4000770edd3c185eac9dc76deba5
weights_prior_latest.json,1384,32d42f8f0257149d2ade5a160b5c853b19d6c5228aab6c9f1a68b5acfb7698a8
weights_prior_v3.json,1384,32d42f8f0257149d2ade5a160b5c853b19d6c5228aab6c9f1a68b5acfb7698a8
winsorization_bounds.csv,15482,8462b2efb3c150913a6f542319d773da69fd6c9e8f13745e9adf9f8633f5a941
